Number,Name,PROVINCE,LOCATION,LAT,LON
1,Bang Wa Melon • บางหว้าเมล่อน,กรุงเทพมหานคร,450 ถนนราชพฤกษ์ บางจาก ภาษีเจริญ กรุงเทพมหานคร 10160,13.730599,100.450181
2,แสงตะวันฟาร์ม เมล่อนสาย4,กรุงเทพมหานคร,แขวง ทวีวัฒนา เขตทวีวัฒนา กรุงเทพมหานคร 10170,13.745634,100.33791
3,เมล่อน สามพราน Melon Samphran,นครปฐม,30/40 หมู่ 4 ซอย บางกระทึก 9 บางกระทึก สามพราน นครปฐม 73210,13.775608,100.308158
4,ณมณฑ์ เมล่อน ฟาร์ม สามพราน,นครปฐม,เลขที่ 75 หมู่6 ตำบล บางช้าง อำเภอสามพราน นครปฐม 73110,13.694765,100.201304
5,ศูนย์การเรียนรู้เกษตรทฤษฎีใหม่เพื่อคนพิการสมาคมคนพิการ,สมุทรปราการ,ซอย เพชรหิงษ์ 2 ตำบลบางยอ อำเภอพระประแดง สมุทรปราการ 10130,13.670463,100.571604
6,ศศิพิมพ์เมล่อนฟาร์ม,สมุทรสาคร,ตำบล บางหญ้าแพรก อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,13.532287,100.289751
7,Pop Farm Melon & Hydro,สมุทรสาคร,7/165 ตำบล โคกขาม อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,13.514519,100.30722
8,KUBORO MELON FARM,กรุงเทพมหานคร,แขวง ฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170,13.775454,100.443143
9,ไร่เหมือนจันทร์,กรุงเทพมหานคร,166/6 ถนน คลองทวีวัฒนา แขวง บางไผ่ เขตบางแค กรุงเทพมหานคร 10160,13.738425,100.359407
10,เอ็ม เมล่อน ฟาร์ม รังสิตคลอง3,ปทุมธานี,12/5 หมู่5 ต.คลองสาม ตำบล คลองสาม อำเภอคลองหลวง ปทุมธานี 12120,14.048877,100.653633
11,เมล่อนเพิ่มสิน,กรุงเทพมหานคร,ซอย เกาะพราหมณ์ แขวง คลองถนน เขตสายไหม กรุงเทพมหานคร 10220,13.902776,100.641833
12,DAY ONE farm & cuisine,สมุทรปราการ,26/12 ตำบล บางหญ้าแพรก อำเภอพระประแดง สมุทรปราการ 10130,13.648348,100.544683
13,เมล่อนฟาร์ม เพชรหึงษ์33,สมุทรปราการ,14 ซอย 1 ตำบล บางกอบัว อำเภอพระประแดง สมุทรปราการ 10130,13.686281,100.566319
14,Bang Wa Melon • บางหว้าเมล่อน สาขา 2,กรุงเทพมหานคร,47/116 สุขาภิบาล 1 แขวง บางแค เขตบางแค กรุงเทพมหานคร 10160,13.692931,100.419673
15,farmily a cafe in farm,นนทบุรี,"farmily a cafe in farm ร้านกาแฟ และฟาร์มเมล่อน อ.ปากเกร็ด นนทบุรี, นนทบุรี Thailand",13.919706,100.446094
16,ฟาร์มลุงแดง,ปทุมธานี,26 4 ตำบล คลองเจ็ด อำเภอคลองหลวง ปทุมธานี 12120,14.156954,100.745661
17,Sabaidee Greenfarm,สมุทรปราการ,หมู่ที่3 88/15 ตำบล บางกะเจ้า อำเภอพระประแดง สมุทรปราการ 10130,13.699168,100.561687
18,บางขวดฟาร์ม,กรุงเทพมหานคร,ซ.นวลจันทร์ 56 แยก 5 ถ.นวลจันทร์ แขวงนวลจันทร์ เขตบึงกุ่ม กทม.,13.832903,100.646095
19,Sansiri Backyard T77 Community,กรุงเทพมหานคร,354 ถนน สุขุมวิท 71 แขวง พระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,13.716204,100.603185
